Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 21:42,1.329,0.071,0,0,0,0,v
2017-01-01 21:48,1.320,0.066,0,0,0,0,v
2017-01-01 21:54,1.302,0.070,0,0,0,0,v
2017-01-01 22:00,1.257,0.069,0,0,0,0,v
2017-01-01 22:06,1.202,0.071,0,0,0,0,v
2017-01-01 22:12,1.186,0.073,0,0,0,0,v
2017-01-01 22:18,1.176,0.050,0,0,0,0,v
2017-01-01 22:24,1.113,0.066,0,0,0,0,v
2017-01-01 22:30,1.116,0.065,0,0,0,0,v
2017-01-01 22:36,1.058,0.064,0,0,0,0,v
2017-01-01 22:42,0.991,0.056,0,0,0,0,v
2017-01-01 22:48,0.954,0.075,0,0,0,0,v
2017-01-01 22:54,0.951,0.071,0,0,0,0,v
2017-01-01 23:00,0.949,0.060,0,0,0,0,v
2017-01-01 23:06,0.896,0.065,0,0,0,0,v
2017-01-01 23:12,0.827,0.062,0,0,0,0,v
2017-01-01 23:18,0.790,0.066,0,0,0,0,v
2017-01-01 23:24,0.767,0.061,0,0,0,0,v
2017-01-01 23:30,0.732,0.071,0,0,0,0,v
2017-01-01 23:36,0.706,0.074,0,0,0,0,v
2017-01-01 23:42,0.673,0.062,0,0,0,0,v
2017-01-01 23:48,0.636,0.071,0,0,0,0,v
2017-01-01 23:54,0.551,0.051,0,0,0,0,v
2017-01-02 00:00,0.549,0.062,0,0,0,0,v
2017-01-02 00:06,0.530,0.064,0,0,0,0,v
2017-01-02 00:12,0.489,0.065,0,0,0,0,v
2017-01-02 00:18,0.456,0.059,0,0,0,0,v
2017-01-02 00:24,0.447,0.050,0,0,0,0,v
2017-01-02 00:30,0.382,0.052,0,0,0,0,v
2017-01-02 00:36,0.327,0.058,0,0,0,0,v
2017-01-02 00:42,0.336,0.073,0,0,0,0,v
2017-01-02 00:48,0.327,0.059,0,0,0,0,v
2017-01-02 00:54,0.276,0.054,0,0,0,0,v
2017-01-02 01:00,0.262,0.060,0,0,0,0,v
2017-01-02 01:06,0.217,0.060,0,0,0,0,v
2017-01-02 01:12,0.185,0.063,0,0,0,0,v
2017-01-02 01:18,0.176,0.067,0,0,0,0,v
2017-01-02 01:24,0.158,0.056,0,0,0,0,v
2017-01-02 01:30,0.162,0.065,0,0,0,0,v
2017-01-02 01:36,0.139,0.062,0,0,0,0,v
2017-01-02 01:42,0.086,0.060,0,0,0,0,v
2017-01-02 01:48,0.054,0.072,0,0,0,0,v
2017-01-02 01:54,0.065,0.061,0,0,0,0,v
2017-01-02 02:00,0.051,0.047,0,0,0,0,v
2017-01-02 02:06,0.061,0.048,0,0,0,0,v
2017-01-02 02:12,0.048,0.050,0,0,0,0,v
2017-01-02 02:18,0.023,0.052,0,0,0,0,v
2017-01-02 02:24,-0.008,0.058,0,0,0,0,v
2017-01-02 02:30,-0.003,0.044,0,0,0,0,v
2017-01-02 02:36,0.000,0.051,0,0,0,0,v
2017-01-02 02:42,0.018,0.052,0,0,0,0,v
2017-01-02 02:48,-0.006,0.049,0,0,0,0,v
2017-01-02 02:54,-0.005,0.051,0,0,0,0,v
2017-01-02 03:00,0.015,0.057,0,0,0,0,v
2017-01-02 03:06,-0.009,0.056,0,0,0,0,v
2017-01-02 03:12,-0.020,0.059,0,0,0,0,v
2017-01-02 03:18,0.005,0.039,0,0,0,0,v
2017-01-02 03:24,0.031,0.044,0,0,0,0,v
2017-01-02 03:30,0.039,0.052,0,0,0,0,v
2017-01-02 03:36,0.016,0.051,0,0,0,0,v
2017-01-02 03:42,0.029,0.043,0,0,0,0,v
2017-01-02 03:48,0.065,0.042,0,0,0,0,v
2017-01-02 03:54,0.071,0.051,0,0,0,0,v
2017-01-02 04:00,0.091,0.044,0,0,0,0,v
2017-01-02 04:06,0.130,0.051,0,0,0,0,v
2017-01-02 04:12,0.122,0.046,0,0,0,0,v
2017-01-02 04:18,0.123,0.059,0,0,0,0,v
2017-01-02 04:24,0.165,0.050,0,0,0,0,v
2017-01-02 04:30,0.198,0.044,0,0,0,0,v
2017-01-02 04:36,0.205,0.054,0,0,0,0,v
2017-01-02 04:42,0.254,0.061,0,0,0,0,v
2017-01-02 04:48,0.265,0.047,0,0,0,0,v
2017-01-02 04:54,0.282,0.047,0,0,0,0,v
2017-01-02 05:00,0.295,0.051,0,0,0,0,v
2017-01-02 05:06,0.354,0.058,0,0,0,0,v
2017-01-02 05:12,0.385,0.043,0,0,0,0,v
2017-01-02 05:18,0.418,0.041,0,0,0,0,v
2017-01-02 05:24,0.415,0.044,0,0,0,0,v
2017-01-02 05:30,0.451,0.041,0,0,0,0,v
2017-01-02 05:36,0.496,0.045,0,0,0,0,v
2017-01-02 05:42,0.528,0.047,0,0,0,0,v
2017-01-02 05:48,0.564,0.054,0,0,0,0,v
2017-01-02 05:54,0.581,0.058,0,0,0,0,v
2017-01-02 06:00,0.613,0.052,0,0,0,0,v
2017-01-02 06:06,0.637,0.053,0,0,0,0,v
2017-01-02 06:12,0.675,0.060,0,0,0,0,v
2017-01-02 06:18,0.721,0.053,0,0,0,0,v
2017-01-02 06:24,0.743,0.047,0,0,0,0,v
2017-01-02 06:30,0.761,0.054,0,0,0,0,v
2017-01-02 06:36,0.812,0.058,0,0,0,0,v
2017-01-02 06:42,0.828,0.051,0,0,0,0,v
2017-01-02 06:48,0.852,0.057,0,0,0,0,v
2017-01-02 06:54,0.877,0.055,0,0,0,0,v
2017-01-02 07:00,0.917,0.065,0,0,0,0,v
2017-01-02 07:06,0.956,0.061,0,0,0,0,v
2017-01-02 07:12,0.965,0.052,0,0,0,0,v
2017-01-02 07:18,0.998,0.067,0,0,0,0,v
2017-01-02 07:24,1.005,0.055,0,0,0,0,v
2017-01-02 07:30,1.038,0.056,0,0,0,0,v
2017-01-02 07:36,1.093,0.056,0,0,0,0,v
2017-01-02 07:42,1.104,0.066,0,0,0,0,v
2017-01-02 07:48,1.113,0.069,0,0,0,0,v
2017-01-02 07:54,1.104,0.057,0,0,0,0,v
2017-01-02 08:00,1.127,0.058,0,0,0,0,v
2017-01-02 08:06,1.162,0.061,0,0,0,0,v
2017-01-02 08:12,1.208,0.067,0,0,0,0,v
