anio,mes,dia,hora(utc),altura(mm)
2016,1,16,18,613 
2016,1,16,19,746 
2016,1,16,20,886 
2016,1,16,21,992 
2016,1,16,22,1029 
2016,1,16,23,980 
2016,1,17,0,854 
2016,1,17,1,683 
2016,1,17,2,511 
2016,1,17,3,384 
2016,1,17,4,338 
2016,1,17,5,392 
2016,1,17,6,544 
2016,1,17,7,769 
2016,1,17,8,1030 
2016,1,17,9,1272 
2016,1,17,10,1439 
2016,1,17,11,1496 
2016,1,17,12,1433 
2016,1,17,13,1266 
2016,1,17,14,1034 
2016,1,17,15,787 
2016,1,17,16,573 
2016,1,17,17,430 
2016,1,17,18,378 
2016,1,17,19,415 
2016,1,17,20,523 
2016,1,17,21,672 
2016,1,17,22,815 
2016,1,17,23,910 
2016,1,18,0,931 
2016,1,18,1,873 
2016,1,18,2,756 
2016,1,18,3,618 
2016,1,18,4,504 
2016,1,18,5,452 
2016,1,18,6,488 
2016,1,18,7,618 
2016,1,18,8,829 
2016,1,18,9,1087 
2016,1,18,10,1334 
2016,1,18,11,1514 
2016,1,18,12,1583 
2016,1,18,13,1523 
2016,1,18,14,1342 
2016,1,18,15,1075 
2016,1,18,16,775 
2016,1,18,17,499 
2016,1,18,18,296 
2016,1,18,19,195 
2016,1,18,20,208 
2016,1,18,21,323 
2016,1,18,22,506 
2016,1,18,23,704 
2016,1,19,0,863 
2016,1,19,1,945 
2016,1,19,2,934 
2016,1,19,3,844 
2016,1,19,4,713 
2016,1,19,5,588 
2016,1,19,6,518 
2016,1,19,7,536 
2016,1,19,8,656 
2016,1,19,9,870 
2016,1,19,10,1141 
2016,1,19,11,1407 
2016,1,19,12,1603 
2016,1,19,13,1680 
2016,1,19,14,1608 
2016,1,19,15,1393 
2016,1,19,16,1074 
2016,1,19,17,713 
2016,1,19,18,378 
2016,1,19,19,130 
2016,1,19,20,9 
2016,1,19,21,30 
2016,1,19,22,180 
2016,1,19,23,416 
2016,1,20,0,674 
2016,1,20,1,886 
2016,1,20,2,1005 
2016,1,20,3,1011 
